Galaxy ID,C_FluxDensity[Jy],C_q,C_FluxDensity_eMERLIN[Jy],C_FluxDensity_Ned[Jy],C_FluxDensity_Joint[Jy],LogIR1,FIR_Condon,q-factor,Physical Scale[kpc / arcsec],ac,Object,Alternative Name,Alternative Name2,SFR Mixed [Mo/yr],SFR Goals,SFR [Paspaliaris et al 2021],SFR Pereira-Santaella,SFR_Ilse De Looze,SFR_Joint_or_Best,S1.4,Log(L(1.4))
UGC 08058,0.313,,,,0.313,12.31,1.38E-12,2.074759915,0.856,-0.17,UGC 08058,IRAS F12540+5708,Mrk231,234,,389,,616.6,234,308.9,24.03798359
VV 250a,0.0196,,,,0.0196,11.61,5.27E-13,2.389321454,,,VV 250a,,,,,,,87.07,,57.3,23.05042386
UGC 08387,0.0463,,,,0.0463,11.59,8.61E-13,2.342334088,0.507,-0.55,UGC 08387,IRAS F13182+3424,IC 883,157.6,,96,,95.5,157.6,104.4,23.09653079
NGC 5256,,,,,,11.34,3.63E-13,1.884554551,,,NGC 5256,IRAS F13362+4831,Ugc 8632,,,50,,38,50,126.3,23.30696265
UGC 08696,0.0603,,,,0.0603,12.08,1.02E-12,2.272237039,0.775,-0.72,UGC 08696,IRAS F13428+5608,Mrk 273,169,,241,,338.84,169,144.7,23.61742252
VV 340a,0.0237,,,,0.0237,11.59,4.17E-13,2.077099488,0.71,-1.06,VV 340a,IRAS F14547+2449,UGC 9618,,,75,,41.36,75,93.1,23.33514313
VV 705,0.0196,,,,0.0196,11.76,4.19E-13,2.346844979,,-0.75,VV 705,F15163+4255,,120,,,,104,120,50.3,23.2338183
IRAS F15250+3608,0.012,,,,0.012,11.92,3.06E-13,2.749647199,1.103,-0.44,IRAS F15250+3608,IRAS F15250+3608,,,,163,,,163,14.5,22.93780139
UGC 09913=ARP220,0.195,,,,0.195,12.15,4.84E-12,2.596874923,,-0.59,UGC 09913=ARP220,IRAS F15327+2340,IC 4553,,,100,,436.51,100,326.3,23.39662782
NGC 6090,,,,0.02,0.02,11.35,3.29E-13,2.262210856,0.626,,NGC 6090,IRAS F16104+5235,UGC10267,,,53,,41.68,53,48,22.93578506
IRAS F17132+5313,0.0093,,,,0.0093,11.77,2.97E-13,2.431658003,,-0.78,IRAS F17132+5313,,,,,100,,131.82,100,29.3,23.16515143
NGC 6670,,,,,,11.48,4.71E-13,2.323597521,0.592,,NGC 6670,,,,,,,52.73,52.73,59.6,22.99972009
GC 6786/UGC 11414,,,,,,11.26,3.82E-13,2.46285302,,,NGC 6786/UGC 11414,,,,,,,,,35.1,22.64628062
IRAS 19542+1110,0.0095,,,,0.0095,11.98,2.79E-13,2.564499219,,-0.79,IRAS 19542+1110,,,,,,,239.47,239.47,20.3,23.20429876
IRAS 20351+2521,,,,,,11.41,3.06E-13,2.292992178,0.683,,IRAS 20351+2521,,,,,,,42.65,42.65,41.5,22.95566721
CGCG 448-020,0.0146,,,,0.0146,11.77,5.59E-13,2.538209155,,-0.66,CGCG 448-020,,,,,,,98.11,98.11,43.2,23.03072892
IRAS 21101+5810,0.0098,,,,0.0098,11.65,3.98E-13,2.679194848,,-0.79,IRAS 21101+5810,,,,,,,70.79,70.79,22.2,22.80895895
NGC 7469,,,,0.0637,0.0637,11.4,1.33E-12,2.293819532,0.332,,NGC 7469,IRAS F23007+0836,UGC 12332,,,48,,75.85,48,180.5,22.96328918
IC 5298,,,,,,11.37,4.46E-13,2.534581009,,,IC 5298,IRAS F23135+2517,IC 5298,,,67,,52.48,67,34.7,22.68662091
NGC 7674,,,,0.011,0.011,11.22,2.79E-13,1.527689799,,,NGC 7674,IRAS F23254+0830,Arp 182,65.76,,22,,26.3,22,220.9,23.53317534
IRAS F23365+3604,0.0106,,,,0.0106,12.04,3.55E-13,2.542099557,,-0.72,IRAS F23365+3604,,,137,276,,,354,137,27.2,23.31473549
IRAS 23436+5257,,,,,,11.4,2.98E-13,2.632315038,,,IRAS 23436+5257,,,,,,,52.48,52.48,18.5,22.6043398
MRK 0331,,,,0.0312,0.0312,11.28,8.71E-13,2.516649239,,,MRK 0331,IRAS F23488+2018,MCG+03-60-036,,55.14,64,,54.95,64,70.7,22.62322185
